season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,label,prediction
2,1,5,23,0,3,1,2,0.5,0.4848,0.77,0.2537,98,81.6375
2,1,5,0,0,4,1,2,0.48,0.4697,0.82,0.2239,90,35.3375
2,1,5,1,0,4,1,2,0.46,0.4545,0.88,0.1045,24,15.9
2,1,5,2,0,4,1,2,0.46,0.4545,0.88,0.1343,17,10.7
2,1,5,3,0,4,1,2,0.46,0.4545,0.88,0.0,6,4.6625
2,1,5,4,0,4,1,2,0.46,0.4545,0.88,0.2537,2,4.1125
2,1,5,5,0,4,1,2,0.46,0.4545,0.88,0.2537,21,27.1375
2,1,5,6,0,4,1,2,0.46,0.4545,0.88,0.1642,136,115.775
2,1,5,7,0,4,1,3,0.44,0.4394,0.94,0.1045,384,249.375
2,1,5,8,0,4,1,3,0.46,0.4545,0.88,0.194,627,430.1875
2,1,5,9,0,4,1,2,0.48,0.4697,0.88,0.1045,304,324.9125
2,1,5,10,0,4,1,2,0.52,0.5,0.77,0.0,168,167.8375
2,1,5,11,0,4,1,1,0.54,0.5152,0.77,0.0,201,215.2125
2,1,5,12,0,4,1,1,0.56,0.5303,0.73,0.1343,301,244.2
2,1,5,13,0,4,1,1,0.6,0.5909,0.69,0.194,265,252.6375
2,1,5,14,0,4,1,1,0.64,0.6061,0.65,0.194,204,256.175
2,1,5,15,0,4,1,1,0.66,0.6212,0.61,0.194,283,263.0
2,1,5,16,0,4,1,1,0.68,0.6364,0.57,0.1642,370,409.1375
2,1,5,17,0,4,1,1,0.72,0.6667,0.54,0.1343,704,761.6625
2,1,5,18,0,4,1,1,0.72,0.6667,0.58,0.1343,706,779.7
2,1,5,19,0,4,1,1,0.7,0.6515,0.61,0.194,522,526.5
2,1,5,20,0,4,1,1,0.64,0.6061,0.73,0.194,420,363.5625
2,1,5,21,0,4,1,1,0.62,0.5909,0.78,0.1343,299,327.7875
2,1,5,22,0,4,1,1,0.62,0.5909,0.78,0.0,246,199.5
2,1,5,23,0,4,1,1,0.6,0.5606,0.83,0.0,121,125.5375
2,1,5,0,0,5,1,1,0.6,0.5758,0.78,0.3284,89,64.725
2,1,5,1,0,5,1,1,0.6,0.5758,0.78,0.1045,48,31.8
2,1,5,2,0,5,1,1,0.58,0.5455,0.83,0.1343,11,20.2625
2,1,5,3,0,5,1,1,0.56,0.5303,0.88,0.2239,14,6.7875
2,1,5,4,0,5,1,1,0.56,0.5303,0.88,0.194,4,6.8125
2,1,5,5,0,5,1,1,0.56,0.5303,0.88,0.194,24,29.475
2,1,5,6,0,5,1,1,0.54,0.5152,0.94,0.1045,135,111.375
2,1,5,7,0,5,1,1,0.56,0.5303,0.88,0.0,356,351.8625
2,1,5,8,0,5,1,1,0.56,0.5303,0.88,0.0,618,639.725
2,1,5,9,0,5,1,1,0.6,0.5758,0.78,0.0,294,342.975
2,1,5,10,0,5,1,2,0.62,0.5909,0.73,0.1343,199,302.0625
2,1,5,11,0,5,1,2,0.7,0.6515,0.61,0.0,258,351.9125
2,1,5,12,0,5,1,3,0.62,0.5909,0.78,0.3582,171,305.7875
2,1,5,13,0,5,1,2,0.64,0.6061,0.73,0.0,278,391.25
2,1,5,14,0,5,1,2,0.66,0.6212,0.74,0.2836,242,416.375
2,1,5,15,0,5,1,2,0.72,0.6818,0.62,0.1045,343,424.2125
2,1,5,16,0,5,1,1,0.76,0.6818,0.48,0.1642,440,555.5375
2,1,5,17,0,5,1,1,0.7,0.6515,0.54,0.4627,643,710.625
2,1,5,18,0,5,1,1,0.7,0.6515,0.54,0.4627,641,707.2625
2,1,5,19,0,5,1,1,0.7,0.6515,0.51,0.1343,452,571.675
2,1,5,20,0,5,1,1,0.68,0.6364,0.51,0.1045,313,391.775
2,1,5,21,0,5,1,1,0.64,0.6061,0.69,0.194,235,268.775
2,1,5,22,0,5,1,1,0.6,0.5606,0.83,0.1343,232,197.1625
2,1,5,23,0,5,1,1,0.6,0.5606,0.83,0.0896,256,169.675
2,1,5,0,0,6,0,1,0.6,0.5606,0.83,0.0,153,122.3125
2,1,5,1,0,6,0,1,0.6,0.5606,0.83,0.0,107,83.025
2,1,5,2,0,6,0,1,0.58,0.5455,0.88,0.0,75,56.5125
2,1,5,3,0,6,0,1,0.58,0.5455,0.83,0.0,32,26.6875
2,1,5,4,0,6,0,1,0.56,0.5303,0.88,0.1045,9,9.625
2,1,5,5,0,6,0,1,0.56,0.5303,0.88,0.0896,22,11.4875
2,1,5,6,0,6,0,2,0.54,0.5152,0.94,0.0,42,42.475
2,1,5,7,0,6,0,1,0.56,0.5303,0.88,0.0,87,147.9125
2,1,5,8,0,6,0,1,0.58,0.5455,0.83,0.0896,197,232.375
2,1,5,9,0,6,0,1,0.62,0.5909,0.78,0.1045,284,311.775
2,1,5,10,0,6,0,1,0.66,0.6212,0.65,0.1343,432,492.7625
2,1,5,11,0,6,0,1,0.7,0.6515,0.58,0.0896,575,578.9625
2,1,5,12,0,6,0,1,0.72,0.6667,0.58,0.1045,550,617.725
2,1,5,13,0,6,0,1,0.74,0.6818,0.55,0.1343,524,598.0625
2,1,5,14,0,6,0,3,0.7,0.6515,0.61,0.2985,428,531.625
2,1,5,15,0,6,0,3,0.66,0.6212,0.74,0.194,541,530.225
2,1,5,16,0,6,0,2,0.68,0.6364,0.65,0.3881,540,578.6125
2,1,5,17,0,6,0,2,0.68,0.6364,0.65,0.2985,502,563.6625
2,1,5,18,0,6,0,2,0.66,0.6212,0.69,0.3582,434,492.6125
2,1,5,19,0,6,0,2,0.62,0.5909,0.73,0.3284,405,378.075
